id,kode,jenis,tanggal_semai,tanggal_tanam,status,blok,baris,latitude,longitude,keterangan,kode_intern
NDIS0001,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,123.123.123,-0.122123,,260831RVF579GW
NDIS0002,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0003,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0004,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0005,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0006,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0007,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0008,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0009,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0010,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0011,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0012,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0013,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0014,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0015,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0016,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0017,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0018,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0019,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0020,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0021,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0022,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0023,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0024,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0025,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0026,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0027,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0028,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0029,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0030,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0031,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0032,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0033,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0034,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0035,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0036,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0037,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0038,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0039,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0040,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0041,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0042,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0043,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0044,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0045,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0046,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0047,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0048,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0049,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0050,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0051,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0052,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0053,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0054,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0055,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0056,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0057,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
NDIS0058,A PANJANG,SMG,13/09/2026,Khayalan,POLYBAG,,,,,,260831RVF579GW
